City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Havoysund,NO,2022-03-25 00:40:39,70.9963,24.6622,28.63,66,100,13.67
1,Petropavlovsk-Kamchatskiy,RU,2022-03-25 00:35:57,53.0452,158.6483,28.99,55,20,11.18
2,Roald,NO,2022-03-25 00:40:39,62.5833,6.1333,49.12,93,100,28.77
3,Pacific Grove,US,2022-03-25 00:30:24,36.6177,-121.9166,70.56,86,75,8.99
4,Todos Santos,MX,2022-03-25 00:40:40,23.45,-110.2167,72.45,68,92,2.77
5,Saint Anthony,US,2022-03-25 00:40:40,45.0205,-93.218,43.9,70,40,8.05
6,Rikitea,PF,2022-03-25 00:32:19,-23.1203,-134.9692,79.77,70,100,12.97
7,Saldanha,ZA,2022-03-25 00:32:33,-33.0117,17.9442,59.05,86,0,19.91
8,Hobart,AU,2022-03-25 00:33:20,-42.8794,147.3294,71.06,56,20,9.22
9,Bambous Virieux,MU,2022-03-25 00:32:57,-20.3428,57.7575,79.05,83,40,3.44
10,Provideniya,RU,2022-03-25 00:29:40,64.3833,-173.3,12.36,73,0,15.99
11,Nouakchott,MR,2022-03-25 00:39:57,18.0858,-15.9785,66.13,74,0,15.3
12,Vila,PT,2022-03-25 00:40:41,42.0304,-8.1588,52.68,70,98,6.08
13,Vaini,TO,2022-03-25 00:33:09,-21.2,-175.2,82.56,83,40,11.5
14,Barrow,US,2022-03-25 00:32:39,71.2906,-156.7887,3.22,72,0,17.27
15,Port Shepstone,ZA,2022-03-25 00:40:07,-30.7414,30.455,70.72,78,28,6.44
16,Mar Del Plata,AR,2022-03-25 00:28:59,-38.0023,-57.5575,62.87,72,0,5.01
17,Tateyama,JP,2022-03-25 00:39:12,34.9833,139.8667,56.64,55,90,5.46
18,Katobu,ID,2022-03-25 00:40:43,-4.9408,122.5276,83.53,76,29,1.57
19,Albany,US,2022-03-25 00:32:22,42.6001,-73.9662,42.46,85,100,2.3
20,Thompson,CA,2022-03-25 00:32:54,55.7435,-97.8558,32.16,100,100,10.36
21,Strezhevoy,RU,2022-03-25 00:40:44,60.7333,77.5889,10.92,97,100,7.0
22,Nikolskoye,RU,2022-03-25 00:32:34,59.7035,30.7861,38.88,100,100,2.91
23,Ushtobe,KZ,2022-03-25 00:40:44,45.2514,77.9838,32.63,54,99,4.25
24,Saint-Georges,GD,2022-03-25 00:30:37,12.0564,-61.7485,78.48,78,20,23.02
25,Punta Arenas,CL,2022-03-25 00:30:14,-53.15,-70.9167,50.11,66,0,21.85
26,Salinopolis,BR,2022-03-25 00:40:45,-0.6136,-47.3561,76.89,89,100,6.53
27,Port Elizabeth,ZA,2022-03-25 00:33:21,-33.918,25.5701,64.09,97,100,11.5
28,Igrim,RU,2022-03-25 00:40:45,63.1906,64.4162,20.59,95,100,13.11
29,Bredasdorp,ZA,2022-03-25 00:32:49,-34.5322,20.0403,63.21,66,100,12.66
30,East London,ZA,2022-03-25 00:30:51,-33.0153,27.9116,67.84,75,19,13.73
31,Manggar,ID,2022-03-25 00:34:07,-2.8833,108.2667,82.49,72,96,2.44
32,Sao Filipe,CV,2022-03-25 00:33:56,14.8961,-24.4956,70.32,72,5,10.65
33,Sabha,LY,2022-03-25 00:40:46,27.0377,14.4283,52.68,37,0,13.58
34,Chokurdakh,RU,2022-03-25 00:32:39,70.6333,147.9167,-4.7,97,74,0.72
