City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Nhulunbuy,AU,2022-03-26 00:22:34,-12.2333,136.7667,Clouds,overcast clouds,83.01,74,100,11.5,0,0
1,Dawei,MM,2022-03-26 00:22:34,14.0833,98.2,Clear,clear sky,76.84,89,5,3.22,0,0
2,Saskylakh,RU,2022-03-26 00:22:35,71.9167,114.0833,Clouds,overcast clouds,-17.93,100,100,1.99,0,0
3,Rikitea,PF,2022-03-26 00:21:39,-23.1203,-134.9692,Rain,light rain,79.68,73,20,17.25,0,0
4,Yellowknife,CA,2022-03-26 00:20:51,62.456,-114.3525,Clear,clear sky,-1.59,51,0,6.91,0,0
5,Coihaique,CL,2022-03-26 00:22:35,-45.5752,-72.0662,Clouds,scattered clouds,56.01,82,40,2.3,0,0
6,Narsaq,GL,2022-03-26 00:22:36,60.9167,-46.05,Clear,clear sky,28.62,82,6,5.44,0,0
7,Loubomo,CG,2022-03-26 00:22:36,-4.1997,12.6739,Rain,moderate rain,72.43,97,96,2.64,0,0
8,Komsomolskiy,UZ,2022-03-26 00:18:20,40.4272,71.7189,Mist,mist,43.52,87,78,4.61,0,0
9,Itarema,BR,2022-03-26 00:22:37,-2.9248,-39.9167,Clouds,scattered clouds,77.99,85,39,8.03,0,0
10,Xiamen,CN,2022-03-26 00:22:37,24.4798,118.0819,Mist,mist,69.85,94,100,2.24,0,0
11,Upernavik,GL,2022-03-26 00:22:37,72.7868,-56.1549,Clouds,overcast clouds,2.41,95,100,10.33,0,0
12,Beyneu,KZ,2022-03-26 00:22:38,45.3167,55.2,Clouds,overcast clouds,35.89,99,100,12.15,0,0
13,Ternate,ID,2022-03-26 00:19:37,0.8,127.4,Clouds,overcast clouds,81.79,76,98,7.47,0,0
14,Sao Joao Da Barra,BR,2022-03-26 00:22:38,-21.6403,-41.0511,Clouds,broken clouds,78.3,88,77,15.82,0,0
15,Mar Del Plata,AR,2022-03-26 00:18:38,-38.0023,-57.5575,Drizzle,light intensity drizzle,66.09,94,100,17.0,0,0
16,Ushuaia,AR,2022-03-26 00:22:39,-54.8,-68.3,Rain,light rain,49.66,81,75,6.91,0,0
17,Atuona,PF,2022-03-26 00:22:39,-9.8,-139.0333,Clouds,scattered clouds,79.45,80,50,19.08,0,0
18,Lebu,CL,2022-03-26 00:22:39,-37.6167,-73.65,Clear,clear sky,55.69,87,0,12.88,0,0
19,Dikson,RU,2022-03-26 00:22:40,73.5069,80.5464,Clouds,overcast clouds,7.56,92,100,7.47,0,0
20,Carnarvon,AU,2022-03-26 00:22:40,-24.8667,113.6333,Clouds,scattered clouds,80.67,78,33,8.05,0,0
21,Moroni,KM,2022-03-26 00:22:40,-11.7022,43.2551,Clouds,broken clouds,80.02,77,55,5.46,0,0
22,Quelimane,MZ,2022-03-26 00:22:41,-17.8786,36.8883,Clear,clear sky,78.75,94,0,4.61,0,0
23,Codrington,AU,2022-03-26 00:22:41,-38.2667,141.9667,Clouds,few clouds,63.99,65,13,5.88,0,0
24,Sicuani,PE,2022-03-26 00:22:41,-14.2694,-71.2261,Clouds,overcast clouds,50.9,75,97,4.76,0,0
25,San Patricio,US,2022-03-26 00:22:42,28.017,-97.5169,Clear,clear sky,84.29,34,0,13.06,0,0
26,Hualmay,PE,2022-03-26 00:22:42,-11.0964,-77.6139,Clouds,broken clouds,71.02,81,74,8.99,0,0
27,Abu Samrah,SY,2022-03-26 00:22:43,35.3029,37.1841,Clear,clear sky,41.65,76,0,13.71,0,0
28,Mount Gambier,AU,2022-03-26 00:22:43,-37.8333,140.7667,Clouds,few clouds,64.44,65,20,5.82,0,0
29,Ribeira Grande,PT,2022-03-26 00:22:43,38.5167,-28.7,Clouds,overcast clouds,58.42,87,100,18.7,0,0
30,Pisco,PE,2022-03-26 00:22:44,-13.7,-76.2167,Clear,clear sky,69.85,68,0,4.61,0,0
31,Mehamn,NO,2022-03-26 00:22:44,71.0357,27.8492,Clouds,overcast clouds,23.41,66,100,15.7,0,0
32,Havoysund,NO,2022-03-26 00:22:44,70.9963,24.6622,Snow,light snow,26.83,71,100,18.12,0,0
33,Victoria,HK,2022-03-26 00:22:38,22.2855,114.1577,Clouds,broken clouds,80.65,92,74,18.01,0,0
34,Jizan,SA,2022-03-26 00:22:45,17.3333,42.6667,Clear,clear sky,79.74,64,2,0.51,0,0
35,Hilo,US,2022-03-26 00:22:45,19.7297,-155.09,Clear,clear sky,80.33,61,0,11.5,0,0
36,Qaanaaq,GL,2022-03-26 00:22:46,77.484,-69.3632,Clouds,overcast clouds,2.5,72,99,5.84,0,0
37,Ixtapa,MX,2022-03-26 00:22:46,20.7,-105.2,Clouds,few clouds,74.43,69,20,11.5,0,0
38,Zhigansk,RU,2022-03-26 00:22:46,66.7697,123.3711,Clouds,overcast clouds,3.45,98,100,7.07,0,0
39,Gigmoto,PH,2022-03-26 00:22:47,13.7796,124.39,Clouds,few clouds,82.69,73,22,9.8,0,0
40,Saldanha,ZA,2022-03-26 00:22:47,-33.0117,17.9442,Clouds,few clouds,57.25,77,11,12.3,0,0
41,Zhenjiang,CN,2022-03-26 00:22:47,32.2092,119.4342,Clouds,overcast clouds,55.8,82,92,1.01,0,0
42,Asyut,EG,2022-03-26 00:22:48,27.181,31.1837,Clear,clear sky,53.1,47,0,10.0,0,0
43,Bluff,NZ,2022-03-26 00:22:48,-46.6,168.3333,Clouds,overcast clouds,60.15,76,100,12.15,0,0
44,Vieux-Habitants,GP,2022-03-26 00:22:49,16.0589,-61.7659,Clear,clear sky,74.77,73,5,12.55,0,0
45,Busselton,AU,2022-03-26 00:22:49,-33.65,115.3333,Clouds,overcast clouds,66.61,84,100,11.95,0,0
46,Irtyshskiy,RU,2022-03-26 00:22:49,58.3333,68.1333,Clouds,scattered clouds,8.22,93,28,8.84,0,0
47,Bredasdorp,ZA,2022-03-26 00:22:50,-34.5322,20.0403,Clouds,overcast clouds,63.28,74,97,11.07,0,0
48,Saint George,US,2022-03-26 00:19:41,37.1041,-113.5841,Clear,clear sky,86.95,11,0,6.91,0,0
49,Coruripe,BR,2022-03-26 00:22:10,-10.1256,-36.1756,Clouds,overcast clouds,78.66,81,99,7.99,0,0
50,Mahebourg,MU,2022-03-26 00:22:51,-20.4081,57.7,Clouds,scattered clouds,77.25,100,40,4.61,0,0
51,Ocampo,MX,2022-03-26 00:22:51,21.65,-101.5,Clouds,few clouds,68.67,11,11,10.89,0,0
52,Puerto Ayora,EC,2022-03-26 00:22:51,-0.7393,-90.3518,Rain,light rain,78.94,82,65,5.08,0,0
53,Tuktoyaktuk,CA,2022-03-26 00:22:52,69.4541,-133.0374,Clear,clear sky,-5.8,65,0,20.71,0,0
54,Sivaki,RU,2022-03-26 00:22:52,52.6333,126.75,Clouds,overcast clouds,24.6,81,100,5.84,0,0
55,La Ronge,CA,2022-03-26 00:22:52,55.1001,-105.2842,Clear,clear sky,14.25,34,0,10.36,0,0
56,Khani,GE,2022-03-26 00:22:53,41.9563,42.9566,Clouds,overcast clouds,27.97,93,100,3.69,0,0
57,Caravelas,BR,2022-03-26 00:22:53,-17.7125,-39.2481,Clouds,scattered clouds,75.65,87,38,5.03,0,0
58,Ponta Do Sol,PT,2022-03-26 00:22:54,32.6667,-17.1,Clouds,broken clouds,62.01,79,74,6.33,0,0
59,Ilulissat,GL,2022-03-26 00:22:54,69.2167,-51.1,Snow,light snow,17.62,79,75,1.14,0,0
60,Punta Arenas,CL,2022-03-26 00:22:54,-53.15,-70.9167,Clouds,broken clouds,57.31,62,75,17.27,0,0
61,Mapiri,BO,2022-03-26 00:22:55,-15.25,-68.1667,Clouds,overcast clouds,69.67,99,100,1.1,0,0
62,Auki,SB,2022-03-26 00:22:55,-8.7676,160.7034,Clouds,broken clouds,82.76,78,79,3.49,0,0
63,Itarantim,BR,2022-03-26 00:22:55,-15.6597,-40.0656,Clear,clear sky,70.27,88,3,3.85,0,0
64,Kudahuvadhoo,MV,2022-03-26 00:22:56,2.6708,72.8944,Clear,clear sky,81.43,71,4,6.93,0,0
65,Mataura,NZ,2022-03-26 00:22:56,-46.1927,168.8643,Clouds,overcast clouds,59.16,82,95,3.83,0,0
66,Boca Do Acre,BR,2022-03-26 00:22:56,-8.7522,-67.3978,Clouds,overcast clouds,75.43,97,91,1.9,0,0
67,Barrow,US,2022-03-26 00:21:35,71.2906,-156.7887,Haze,haze,1.42,78,100,21.85,0,0
68,Tasiilaq,GL,2022-03-26 00:22:57,65.6145,-37.6368,Clouds,overcast clouds,17.76,94,100,7.67,0,0
69,Tampa,US,2022-03-26 00:20:04,27.9475,-82.4584,Clouds,overcast clouds,70.21,63,100,9.22,0,0
70,Necochea,AR,2022-03-26 00:22:57,-38.5473,-58.7368,Clouds,overcast clouds,62.29,94,100,20.02,0,0
71,Jamestown,US,2022-03-26 00:22:27,42.097,-79.2353,Clouds,overcast clouds,37.53,72,100,8.99,0,0
72,Lander,US,2022-03-26 00:22:58,42.833,-108.7307,Clear,clear sky,65.1,26,0,6.91,0,0
73,Tral,IN,2022-03-26 00:22:58,33.9333,75.1,Clear,clear sky,45.01,45,0,6.55,0,0
74,Hermanus,ZA,2022-03-26 00:22:59,-34.4187,19.2345,Clouds,overcast clouds,60.8,77,89,14.94,0,0
75,Olafsvik,IS,2022-03-26 00:22:59,64.8945,-23.7142,Clouds,overcast clouds,41.52,93,100,33.93,0,0
76,Kapaa,US,2022-03-26 00:23:00,22.0752,-159.319,Clouds,scattered clouds,82.38,66,40,21.85,0,0
77,Chipinge,ZW,2022-03-26 00:23:00,-20.1883,32.6236,Clouds,scattered clouds,66.67,69,43,2.51,0,0
78,Ust-Kan,RU,2022-03-26 00:21:19,50.9276,84.761,Clouds,overcast clouds,9.07,88,100,7.72,0,0
79,Margate,GB,2022-03-26 00:23:01,51.3813,1.3862,Clear,clear sky,48.31,80,6,4.0,0,0
80,Senneterre,CA,2022-03-26 00:23:01,48.3835,-77.2328,Snow,light snow,32.11,100,100,1.97,0,0
81,Butaritari,KI,2022-03-26 00:23:02,3.0707,172.7902,Clouds,scattered clouds,80.26,76,33,9.73,0,0
82,New Norfolk,AU,2022-03-26 00:23:02,-42.7826,147.0587,Clear,clear sky,67.71,49,6,2.73,0,0
83,Farafangana,MG,2022-03-26 00:23:02,-22.8167,47.8333,Rain,light rain,74.88,95,25,3.71,0,0
84,Vermillion,US,2022-03-26 00:23:03,42.7794,-96.9292,Clear,clear sky,50.16,27,0,18.66,0,0
85,Prata,BR,2022-03-26 00:23:03,-19.3072,-48.9242,Clouds,overcast clouds,77.68,66,100,0.74,0,0
86,Sechura,PE,2022-03-26 00:23:04,-5.5569,-80.8222,Clouds,broken clouds,75.42,63,72,17.9,0,0
87,Tiksi,RU,2022-03-26 00:23:04,71.6872,128.8694,Clouds,broken clouds,-6.65,100,83,3.65,0,0
88,Hobart,AU,2022-03-26 00:23:05,-42.8794,147.3294,Clear,clear sky,68.05,69,0,5.75,0,0
89,Erenhot,CN,2022-03-26 00:23:05,43.6475,111.9767,Clouds,overcast clouds,30.72,24,97,14.12,0,0
90,Vaini,TO,2022-03-26 00:23:05,-21.2,-175.2,Clouds,few clouds,82.56,69,20,10.36,0,0
91,Khorixas,NA,2022-03-26 00:23:06,-20.3667,14.9667,Clear,clear sky,68.94,81,0,3.0,0,0
92,Albany,US,2022-03-26 00:20:47,42.6001,-73.9662,Clouds,overcast clouds,47.75,67,99,1.01,0,0
93,Cherskiy,RU,2022-03-26 00:23:06,68.75,161.3,Clouds,overcast clouds,-7.19,89,99,3.56,0,0
94,Pudem,RU,2022-03-26 00:19:14,58.3044,52.1675,Clouds,broken clouds,19.83,81,78,9.04,0,0
95,Ullapool,GB,2022-03-26 00:23:07,57.8987,-5.1604,Clouds,scattered clouds,48.34,93,25,1.12,0,0
96,Yablonovo,RU,2022-03-26 00:23:07,50.8523,37.3574,Clouds,overcast clouds,31.53,97,100,6.33,0,0
97,Isangel,VU,2022-03-26 00:23:08,-19.55,169.2667,Clouds,broken clouds,87.91,70,75,5.75,0,0
98,Bethel,US,2022-03-26 00:20:04,41.3712,-73.414,Clouds,overcast clouds,52.02,62,100,6.91,0,0
99,Sola,VU,2022-03-26 00:23:08,-13.8833,167.55,Clouds,broken clouds,88.47,70,75,2.3,0,0
100,Port Alfred,ZA,2022-03-26 00:23:09,-33.5906,26.891,Rain,light rain,63.45,83,69,4.45,0,0
